,七股區,下營區,中西區,仁德區,佳里區,六甲區,北區,北門區,南化區,南區,善化區,大內區,學甲區,安南區,安定區,安平區,官田區,將軍區,山上區,左鎮區,後壁區,新化區,新市區,新營區,東區,東山區,柳營區,楠西區,歸仁區,永康區,玉井區,白河區,西港區,關廟區,鹽水區,麻豆區,龍崎區
後壁區,0.0026127955522385277,0.28805828653151105,0.0002355724221416506,4.281733243111274e-05,0.03411486514700394,0.36058610199774216,0.0004957074783546984,0.07033895996499961,0.006453756334630534,4.336268096777061e-05,0.0635327706934886,0.07040958411011627,0.15144689552600019,0.0008632356632072038,0.012765408928438526,0.00011890778370534734,0.20758650307355728,0.029759724619973817,0.022173579027631833,0.0019004430153246109,0.0,0.003019054625420579,0.013213928971744353,0.7196421910150412,0.00021315297919401703,0.45034157195223196,0.6273778106722382,0.044535041096685005,8.007782135326661e-05,0.0015910194506534461,0.020859975160701403,0.5740519254761355,0.017622773909761035,0.0001364889243535846,0.5086097510360621,0.1040363949171604,0.00012352360593934872
新化區,0.049226232975579265,0.09748349422609154,0.36224002742625866,0.4185964665163534,0.1228620289655379,0.1217095851166822,0.4444216711764529,0.005334832922477573,0.094469672049191,0.26920207846632316,0.5098899044369612,0.428339854170068,0.026461700267018103,0.2096414289823753,0.4721266374976643,0.23113817939743603,0.26253599344260914,0.026231792854294268,0.7629235231154436,0.7599545673697085,0.003019054625420579,0.0,0.8053206843390767,0.019532920424010308,0.5056926009554946,0.023228247358216186,0.050067909755777955,0.07065691067926298,0.609614074922892,0.7339117701219424,0.3406798263348486,0.0021977697280603638,0.27373551640845223,0.7190240500749527,0.016221946973361503,0.20092704130159317,0.6321575692665679
新市區,0.16281058959261835,0.2968893849303804,0.41783770531531333,0.29927570346361065,0.3749555730609572,0.23012203749715876,0.5283537470153408,0.036112601251948054,0.051260371925558365,0.25561013723491016,0.8371089940734093,0.48435545191742596,0.12424135251674029,0.3783106990021471,0.8207847285988771,0.290592508293782,0.46443634389895927,0.12210821298009691,0.746207072688188,0.43290549090968433,0.013213928971744353,0.8053206843390767,0.0,0.07674527614076122,0.4734154552879356,0.04461752251223968,0.1306372826636371,0.05993151124225207,0.36586748610198,0.7886305851810937,0.2567037317297892,0.005903813132930585,0.6129266704821019,0.3843672613633517,0.07533571528148342,0.5193942742976934,0.2727450493134903
新營區,0.03057348616564238,0.7343385037536403,0.003965332023882446,0.0008061691741543396,0.20216499806282645,0.533010128978132,0.007128685268487245,0.2620966742671262,0.008772779487536254,0.0009603040292669284,0.24674188750954923,0.16190677364431988,0.5001541856858925,0.012560330824008172,0.09113544420749005,0.0024002668338237282,0.45499522668061226,0.17306941854546937,0.08002689906209584,0.008856007711196143,0.7196421910150412,0.019532920424010308,0.07674527614076122,0.0,0.0032988968123146474,0.34744910494829934,0.8019006929976469,0.0457283320504617,0.001129612234811701,0.016095267252682045,0.042884484759285024,0.25750918581691,0.12335174177657221,0.0014800247106364125,0.905870843320552,0.4086891504460623,0.0010380699079972102
東區,0.1587754391114951,0.03297596016810398,0.9370946511261737,0.9074977371782925,0.14040872538873905,0.013398131291447934,0.9360570205968917,0.005485899277190846,0.003812858334706255,0.9012580143521662,0.2044364925727991,0.06198604776810459,0.017654172104038114,0.6031895768295201,0.4740820742997374,0.8257034861785308,0.048650401374661666,0.03932384398782739,0.1908266123904533,0.18747432406348347,0.00021315297919401703,0.5056926009554946,0.4734154552879356,0.0032988968123146474,0.0,0.0010128525203360603,0.005612566103092831,0.0026100389224395027,0.7702374768300757,0.8667913593436533,0.03148432722065775,5.559263702732827e-05,0.31949113061258017,0.5729212517660099,0.004409897746398631,0.1128908875450047,0.29978772337194
東山區,0.0011174208064817952,0.2008709837876695,0.0007309101790560965,0.00033046041794609313,0.019763683216449113,0.7180729442167689,0.001499721557385607,0.009481855222575698,0.1502939918982026,0.00018556812905831638,0.1354863579930041,0.348424613254229,0.042847962162233855,0.001151883209380122,0.02135346570327657,0.00029981415132272695,0.4325991798183608,0.00758168559602476,0.13225645266764174,0.0308793075519299,0.45034157195223196,0.023228247358216186,0.04461752251223968,0.34744910494829934,0.0010128525203360603,0.0,0.6866603652748152,0.4598768303794521,0.0009259700805657286,0.0063262322856105545,0.23387165620488717,0.7433642871407407,0.01804821168102372,0.002094282543332891,0.16787737105079237,0.0910940481876874,0.0030442653226646463
柳營區,0.0156141641044848,0.6385495829918366,0.005321105186834032,0.001703893491624151,0.1368832863954807,0.8841485622550653,0.00971575179178198,0.09035424875663603,0.053194578192275514,0.0014493673965600498,0.35573451560700187,0.39813490708273247,0.2593311403654719,0.011152093579174335,0.10362940556524812,0.0027969338394417467,0.7193120951581847,0.07664789255616987,0.1998012293412857,0.035571644914149186,0.6273778106722382,0.050067909755777955,0.1306372826636371,0.8019006929976469,0.005612566103092831,0.6866603652748152,0.0,0.19104045779450146,0.003106298159561309,0.026965441801654087,0.16479467362721917,0.4241614665142531,0.10902157063858499,0.004947463398229476,0.5695338461890674,0.3698230458654899,0.004652626614671441
楠西區,0.0002670771097154606,0.04588931913277624,0.0012927856992836155,0.0014404507239493564,0.005019330050080628,0.37004720869316915,0.0024572146788327783,0.0005171444446283201,0.7763821472054065,0.00048803050423159406,0.10287868850885365,0.4935646039402765,0.004535241563523817,0.0008714941535895861,0.015781923425723248,0.0004627958142520526,0.26548158801847704,0.0008776532751762311,0.260008395386538,0.17108887886763105,0.044535041096685005,0.07065691067926298,0.05993151124225207,0.0457283320504617,0.0026100389224395027,0.4598768303794521,0.19104045779450146,0.0,0.005378660389191232,0.011944019333910002,0.6933245751433273,0.17099419179859446,0.008319781753333973,0.014571534692675015,0.016733847770586865,0.029840686939718614,0.030494370952223775
歸仁區,0.03309284867931606,0.012309483359930224,0.5575445065800827,0.8843745916017538,0.03983805662294345,0.010106960195549625,0.5666620151039011,0.0007483453461163035,0.011769972918984946,0.6088178001533292,0.13205043350871468,0.07163928300511205,0.003754172885265595,0.22918248245039963,0.236176952671527,0.42118236874052856,0.034792165622122895,0.007034001933765696,0.22392759432082865,0.368584558147236,8.007782135326661e-05,0.609614074922892,0.36586748610198,0.001129612234811701,0.7702374768300757,0.0009259700805657286,0.003106298159561309,0.005378660389191232,0.0,0.657358295456883,0.05913041954380879,4.175947658247311e-05,0.12104096125115292,0.920371091066119,0.0011583361640079524,0.043951231151053295,0.6628567422668192
永康區,0.2012803209618759,0.10597081687725407,0.7979528453777536,0.6665605092283157,0.26770944595646445,0.0558022214846787,0.8830549500924225,0.015887029538340158,0.01362954473070468,0.6271967533256484,0.45741731865483665,0.1804854307578975,0.051885434559596155,0.6049434078224438,0.734423950467781,0.6372291557394301,0.15703960025981295,0.08129395014491471,0.4104143108481496,0.31498595183324996,0.0015910194506534461,0.7339117701219424,0.7886305851810937,0.016095267252682045,0.8667913593436533,0.0063262322856105545,0.026965441801654087,0.011944019333910002,0.657358295456883,0.0,0.0919293265633352,0.0005132736911702699,0.522266999298016,0.5646466852993145,0.01896319863522855,0.27019396079470015,0.3340261945237331
玉井區,0.002367163751302466,0.08177149720114157,0.016998553321874436,0.02142306569401777,0.021746736155830157,0.37332909014108123,0.027363508858511645,0.0013626134472085572,0.7268599341726338,0.008584900395115608,0.2875403812284497,0.7975056914331847,0.010565004617955585,0.009781052759607695,0.08370674618245896,0.007361514724222735,0.40586369982565484,0.0037108696746629435,0.6764868596505842,0.586054249304335,0.020859975160701403,0.3406798263348486,0.2567037317297892,0.042884484759285024,0.03148432722065775,0.23387165620488717,0.16479467362721917,0.6933245751433273,0.05913041954380879,0.0919293265633352,0.0,0.048941810796154055,0.04310038700057292,0.12157776367542926,0.02034535360744349,0.08399827751496092,0.19497765808266213
白河區,0.00015892637803925917,0.08234669822235255,4.271853393171191e-05,1.3404383128470781e-05,0.004394136870446332,0.32966558681788133,0.00010005493257250312,0.004738480758502597,0.03496283304394958,7.916270040980576e-06,0.028347095588281752,0.08551886145924568,0.018814563139078994,9.760760042428472e-05,0.0029693910796909557,1.616063197590626e-05,0.14338525391937954,0.002195374938958825,0.02146384173516347,0.003019867241055443,0.5740519254761355,0.0021977697280603638,0.005903813132930585,0.25750918581691,5.559263702732827e-05,0.7433642871407407,0.4241614665142531,0.17099419179859446,4.175947658247311e-05,0.0005132736911702699,0.048941810796154055,0.0,0.0029586008556928985,0.00010675767709822911,0.11471874730521037,0.024744720299516437,0.00016446428763226934
西港區,0.6240299185073128,0.4495736476234084,0.40260248944331056,0.14978059604661056,0.8895492259841513,0.12820588791600013,0.49005319980664425,0.22027789335649714,0.004235781367871563,0.2129233954736722,0.6293638811770326,0.15818736085874474,0.41172515800309173,0.6584092337154034,0.927339360729863,0.35051346967990626,0.2885070770245307,0.5387790194676636,0.24904281996952574,0.07377277049291958,0.017622773909761035,0.27373551640845223,0.6129266704821019,0.12335174177657221,0.31949113061258017,0.01804821168102372,0.10902157063858499,0.008319781753333973,0.12104096125115292,0.522266999298016,0.04310038700057292,0.0029586008556928985,0.0,0.09309103333065194,0.1772165501403216,0.7738186311767226,0.041920707979133595
關廟區,0.017285133710552496,0.01342781112705093,0.36829399700280063,0.6660742688942424,0.02939468275268733,0.017024327673380794,0.39796512598009604,0.0005045582367084041,0.03322569328397759,0.3816175605079708,0.15017802955627865,0.11974260956770971,0.003078636455954467,0.13646147764594455,0.19828569179168948,0.24750523172672975,0.050101807213139525,0.004454564136210427,0.32118538126236684,0.5776563595499028,0.0001364889243535846,0.7190240500749527,0.3843672613633517,0.0014800247106364125,0.5729212517660099,0.002094282543332891,0.004947463398229476,0.014571534692675015,0.920371091066119,0.5646466852993145,0.12157776367542926,0.00010675767709822911,0.09309103333065194,0.0,0.001269207532712921,0.04179418941804197,0.8795587559289215
鹽水區,0.06761182222493987,0.7738139952560144,0.006116150538057735,0.0010303342565991043,0.314177342662049,0.344439231632183,0.010384113072168365,0.49042568627335564,0.002920052106031668,0.001524140721872604,0.23153774762880094,0.09908962769682168,0.7372150345158062,0.02266885678475264,0.1164039805030706,0.004201663027678396,0.34080296257450854,0.3294012529977189,0.056025573686149514,0.005319096936092469,0.5086097510360621,0.016221946973361503,0.07533571528148342,0.905870843320552,0.004409897746398631,0.16787737105079237,0.5695338461890674,0.016733847770586865,0.0011583361640079524,0.01896319863522855,0.02034535360744349,0.11471874730521037,0.1772165501403216,0.001269207532712921,0.0,0.48389206699471665,0.0007112966967334947
麻豆區,0.32522402913311343,0.8585623094705003,0.1356528234571212,0.04332984018293913,0.8236054340220774,0.3695908289621311,0.18968800859384852,0.3336091287835317,0.011328900605243374,0.05540420654895655,0.7786063118539643,0.29372773657662216,0.6624906259189742,0.26500688299032715,0.6848159089135877,0.10207623034630306,0.588418531385917,0.5327903922497408,0.3087138258331104,0.0689064809790305,0.1040363949171604,0.20092704130159317,0.5193942742976934,0.4086891504460623,0.1128908875450047,0.0910940481876874,0.3698230458654899,0.029840686939718614,0.043951231151053295,0.27019396079470015,0.08399827751496092,0.024744720299516437,0.7738186311767226,0.04179418941804197,0.48389206699471665,0.0,0.02284121854724612
龍崎區,0.004761057233741801,0.008192919111430878,0.16262583289550017,0.37398444970224715,0.011862645427042044,0.01818857058838821,0.18627336356395935,0.0001562814913927513,0.07985587318447088,0.16616432955194868,0.10919722599258089,0.14154768059775594,0.001267492328166228,0.049098112445181974,0.1033702218889896,0.09483614815360608,0.046007118619806935,0.0013984312943093153,0.33313672872465583,0.7380664034847234,0.00012352360593934872,0.6321575692665679,0.2727450493134903,0.0010380699079972102,0.29978772337194,0.0030442653226646463,0.004652626614671441,0.030494370952223775,0.6628567422668192,0.3340261945237331,0.19497765808266213,0.00016446428763226934,0.041920707979133595,0.8795587559289215,0.0007112966967334947,0.02284121854724612,0.0
